[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold2/train.txt -test Fold2/test.txt -validate Fold2/vali.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-lm2.txt

[+] General Parameters:
Training data:  Fold2/train.txt
Test data:      Fold2/test.txt
Validation data:        Fold2/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-lm2.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold2/train.txt]... [Done.]
(6000 ranked lists, 716683 entries read)
Reading feature file [Fold2/vali.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Reading feature file [Fold2/test.txt]... [Done.]
(2000 ranked lists, 241988 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
461     | 0.4658    | 0.4423    |
462     | 0.4658    | 0.4422    |
463     | 0.4659    | 0.4424    |
464     | 0.4659    | 0.4424    |
465     | 0.4659    | 0.4424    |
466     | 0.466     | 0.4424    |
467     | 0.466     | 0.4423    |
468     | 0.4661    | 0.4426    |
469     | 0.4661    | 0.4426    |
470     | 0.4661    | 0.4426    |
471     | 0.466     | 0.4428    |
472     | 0.466     | 0.4428    |
473     | 0.4661    | 0.4427    |
474     | 0.4661    | 0.4426    |
475     | 0.4661    | 0.4428    |
476     | 0.4661    | 0.4428    |
477     | 0.4661    | 0.4429    |
478     | 0.4661    | 0.4428    |
479     | 0.466     | 0.4427    |
480     | 0.4663    | 0.4427    |
481     | 0.4664    | 0.4428    |
482     | 0.4663    | 0.4428    |
483     | 0.4664    | 0.4428    |
484     | 0.4664    | 0.4427    |
485     | 0.4664    | 0.4429    |
486     | 0.4664    | 0.4428    |
487     | 0.4665    | 0.4428    |
488     | 0.4664    | 0.4426    |
489     | 0.4667    | 0.4425    |
490     | 0.4666    | 0.4426    |
491     | 0.4666    | 0.4426    |
492     | 0.4666    | 0.4427    |
493     | 0.4666    | 0.4429    |
494     | 0.4666    | 0.4427    |
495     | 0.4666    | 0.4429    |
496     | 0.4666    | 0.443     |
497     | 0.4666    | 0.443     |
498     | 0.467     | 0.4433    |
499     | 0.4672    | 0.4434    |
500     | 0.4672    | 0.4433    |
501     | 0.4673    | 0.4435    |
502     | 0.4675    | 0.4436    |
503     | 0.4675    | 0.4438    |
504     | 0.4675    | 0.4439    |
505     | 0.4674    | 0.444     |
506     | 0.4674    | 0.4439    |
507     | 0.4674    | 0.4438    |
508     | 0.4675    | 0.4439    |
509     | 0.4675    | 0.4439    |
510     | 0.4674    | 0.4438    |
